"State Senator, District 45","State Senator, District 45"
"State Senator, District 46","State Senator, District 46"
"State Senator, District 47","State Senator, District 47"
"State Senator, District 48","State Senator, District 48"
"State Senator, District 49","State Senator, District 49"
"State Senator, District 5","State Senator, District 5"
"State Senator, District 50","State Senator, District 50"
"State Senator, District 51","State Senator, District 51"
"State Senator, District 52","State Senator, District 52"
"State Senator, District 53","State Senator, District 53"
"State Senator, District 54","State Senator, District 54"
"State Senator, District 55","State Senator, District 55"
"State Senator, District 56","State Senator, District 56"
"State Senator, District 6","State Senator, District 6"
"State Senator, District 7","State Senator, District 7"
"State Senator, District 8","State Senator, District 8"
"State Senator, District 9","State Senator, District 9"
"U.S. Representative, District 1","U.S. Representative, District 1"
"U.S. Representative, District 10","U.S. Representative, District 10"
"U.S. Representative, District 11","U.S. Representative, District 11"
"U.S. Representative, District 12","U.S. Representative, District 12"
"U.S. Representative, District 13","U.S. Representative, District 13"
"U.S. Representative, District 14","U.S. Representative, District 14"
"U.S. Representative, District 2","U.S. Representative, District 2"
"U.S. Representative, District 3","U.S. Representative, District 3"
"U.S. Representative, District 4","U.S. Representative, District 4"
"U.S. Representative, District 5","U.S. Representative, District 5"
"U.S. Representative, District 6","U.S. Representative, District 6"
"U.S. Representative, District 7","U.S. Representative, District 7"
"U.S. Representative, District 8","U.S. Representative, District 8"
"U.S. Representative, District 9","U.S. Representative, District 9"
"United States Senator, Isakson","United States Senator, Isakson"
